author,250-499,500-749,750-999,<250,>=1000
Charles Simic,0,0,0,1,0
Charles Stross,4,0,0,3,0
Charles Tandy,1,0,0,0,0
Charles Taylor,1,1,0,2,0
Charles Todd,9,0,0,0,0
Charles W. Sydnor Jr.,1,0,0,0,0
Charles Wheelan,1,0,0,0,0
Charles Willeford,0,0,0,5,0
Charles de Lint,1,1,0,0,0
Charlie Huston,3,0,0,2,0
Charlotte Brontë,1,3,1,0,1
Charlotte Fiell,1,0,0,0,0
Charlotte Lyons,0,0,0,1,0
Cheri Huber,0,0,0,3,0
Cheryl Carlson,0,0,0,1,0
Cheryl St. John,1,0,0,0,0
Chester Gould,1,0,0,0,0
Chet Green,1,0,0,0,0
Chie Shinohara,0,0,0,4,0
Chieri Uegaki,0,0,0,1,0
Chiho Saito,0,0,0,5,0
Chimamanda Ngozi Adichie,1,0,0,0,0
Chinua Achebe,0,0,0,4,0
Chip Kidd,2,0,0,0,0
Chris          Jones,0,1,0,0,0
Chris    Green,1,0,0,0,0
Chris   Smith,0,0,0,1,0
Chris  Williams,1,0,0,0,0
Chris Abani,1,0,0,0,0
Chris Adrian,0,0,0,1,0
Chris Anderson,1,0,0,0,0
Chris Archer,0,0,0,1,0
Chris Chester,1,0,0,0,0
Chris Claremont,0,0,0,1,0
Chris Gardner,1,0,0,0,0
Chris Gray,0,0,0,1,0
Chris Horrocks,0,0,0,1,0
Chris Ingham,1,0,0,0,0
Chris Kubica,1,0,0,0,0
Chris L. Demarest,0,0,0,3,0
Chris Malta,1,0,0,0,0
Chris Manby,2,0,0,0,0
Chris Offutt,1,0,0,2,0
Chris Prentiss,0,0,0,1,0
Chris Rowthorn,0,0,1,0,0
Chris Ryall,0,0,0,1,0
Chris Seay,0,0,0,1,0
Chris Tait,0,0,0,1,0
Chris Van Allsburg,0,0,0,1,0
Chris Ware,1,0,0,4,0
Christie Ridgway,1,0,0,0,0
Christina Dodd,1,0,0,0,0
Christina Schwarz,2,0,0,0,0
Christina Scull,0,0,0,0,2
Christine Feehan,2,0,0,0,0
Christine Rimmer,0,0,0,1,0
Christopher   Black,0,0,1,0,0
Christopher   Clark,0,0,1,0,0
Christopher   Duncan,1,0,0,0,0
Christopher   Green,0,0,0,1,0
Christopher Andersen,0,1,0,0,0
Christopher Biffle,0,0,0,1,0
Christopher Bram,1,0,0,0,0
Christopher Buckley,1,0,0,0,0
Christopher Caswell,1,0,0,0,0
Christopher Cokinos,1,0,0,0,0
Christopher Fowler,1,0,0,0,0
Christopher Golden,1,0,0,0,0
Christopher Hitchens,4,0,0,6,0
Christopher Isherwood,2,0,0,2,0
Christopher Janaway,1,0,0,1,0
Christopher M. Andrew,0,1,0,0,0
Christopher Marlowe,0,1,1,3,0
Christopher Moore,8,0,0,0,0
Christopher Partridge,1,0,0,0,0
